brewery,beer_name,style,abv_percent,ibu,global_rating,checkin_date,location,your_rating,your_notes,beer_url,checkin_url
Abbaye Notre-Dame de Saint-Rémy,Trappistes Rochefort 8,Belgian Strong Dark Ale,9.2,22,3.83827,2025-04-20T05:43:07+00:00,Untappd at Home,3.75,,https://untappd.com/b/abbaye-notre-dame-de-saint-remy-trappistes-rochefort-8/11473,https://untappd.com/user/Semelenge/checkin/1472623334
Brouwerij Alken-Maes,Grimbergen Blonde,Belgian Blonde,6.7,22,3.49038,2025-04-20T05:42:32+00:00,Untappd at Home,3.25,,https://untappd.com/b/brouwerij-alken-maes-grimbergen-blonde/2,https://untappd.com/user/Semelenge/checkin/1472623303
Jopen,Koyt,Historical Beer - Gruit / Ancient Herbed Ale,8.5,18,3.42442,2025-03-27T19:52:46+00:00,Untappd at Home,3.75,,https://untappd.com/b/jopen-koyt/7573,https://untappd.com/user/Semelenge/checkin/1466289733
Le Corsaire Microbrasserie,Queen Anne's Revenge,Wheat Beer - Witbier / Blanche,4.9,8,3.30269,2025-03-17T19:49:04+00:00,Untappd at Home,2.75,,https://untappd.com/b/le-corsaire-microbrasserie-queen-anne-s-revenge/2134877,https://untappd.com/user/Semelenge/checkin/1464101610
Cervisiam,Django Juice — TDH DOUBLE NEIPA,IPA - Imperial / Double New England / Hazy,8.5,,3.83374,2025-03-05T19:09:48+00:00,Untappd at Home,3.25,,https://untappd.com/b/cervisiam-cervisiam-django-juice-tdh-double-neipa/5837590,https://untappd.com/user/Semelenge/checkin/1460976590
LERVIG,Supersonic,IPA - Imperial / Double,8.5,,4.0417,2025-03-04T18:45:43+00:00,Untappd at Home,3.75,,https://untappd.com/b/lervig-supersonic/2050741,https://untappd.com/user/Semelenge/checkin/1460832085
Ringnes Bryggeri,Julebokk,Bock - Doppelbock,9,32,3.68541,2025-03-02T07:39:53+00:00,,3.5,,https://untappd.com/b/ringnes-bryggeri-julebokk/14071,https://untappd.com/user/Semelenge/checkin/1460431902
Brouwerij Palm,St. Pierre Blanche,Wheat Beer - Witbier / Blanche,5,15,3.37087,2025-03-01T17:20:33+00:00,Untappd at Home,3.5,,https://untappd.com/b/brouwerij-palm-st-pierre-blanche/4281464,https://untappd.com/user/Semelenge/checkin/1460093879
Færder Mikrobryggeri,Myrra,Spiced / Herbed Beer,6.5,15,3.2963,2024-12-21T18:10:45+00:00,Untappd at Home,2.5,,https://untappd.com/b/faerder-mikrobryggeri-myrra/1783078,https://untappd.com/user/Semelenge/checkin/1443028746
Færder Mikrobryggeri,Gull,Belgian Dubbel,8,15,3.42086,2024-12-21T18:10:19+00:00,Untappd at Home,2.25,,https://untappd.com/b/faerder-mikrobryggeri-gull/1783105,https://untappd.com/user/Semelenge/checkin/1443028455
